facilityid,name,address,city,county,state,zip,capacity,type,securelvl,status,ice_facility,flood_risk_rating,flood_risk,confidence,distance,depth_cm_100_year_flood,heat_risk_rating,heat_risk,hist_90,hist_105,late45_90,late45_105,late85_90,late85_105,paris_90,paris_105,wildfire_risk_rating,wildfire_risk,mean_percentile,Latitude,Longitude,Accuracy Score,Accuracy Type,Number,Street,Unit Type,Unit Number,City,State,County,Zip,Country,Source
10007016,WOODINVILLE COMMUNITY FACILITY,14521 - 124TH AVENUE N.E.,WOODINVILLE,KING,WA,98034,16,STATE,JUVENILE,OPEN,N,1,Minimal,high,0.0,0,0,Minimal,0.0818414,0.0,4.85678,0.0,18.2711,1.28645,3.21995,0.0,1,minimal,27,47.733643,-122.176741,1.0,rooftop,14521,124th Ave NE,,,Kirkland,WA,King County,98034,US,King
10007016,WOODINVILLE COMMUNITY FACILITY,14521 - 124TH AVENUE N.E.,WOODINVILLE,KING,WA,98034,16,STATE,JUVENILE,OPEN,N,1,Minimal,high,0.0,0,0,Minimal,0.0818414,0.0,4.85678,0.0,18.2711,1.28645,3.21995,0.0,1,minimal,27,47.733643,-122.176741,1.0,rooftop,14521,124th Ave NE,,,Kirkland,WA,King County,98034,US,King
10007016,WOODINVILLE COMMUNITY FACILITY,14521 - 124TH AVENUE N.E.,WOODINVILLE,KING,WA,98034,16,STATE,JUVENILE,OPEN,N,1,Minimal,high,0.0,0,0,Minimal,0.0818414,0.0,4.85678,0.0,18.2711,1.28645,3.21995,0.0,1,minimal,27,47.733643,-122.176741,1.0,rooftop,14521,124th Ave NE,,,Kirkland,WA,King County,98034,US,King
10001176,ST. ANTHONY WORK CAMP,125 N 8TH W,ST. ANTHONY,FREMONT,ID,83445,262,STATE,MINIMUM,OPEN,N,4,Moderate,high,0.0,7,0,Minimal,0.0338462,0.0,6.16,0.0,26.24,0.264615,3.79077,0.0,2,low,76,43.967606,-111.693165,1.0,range_interpolation,125,N 8th W,,,Saint Anthony,ID,Fremont County,83445,US,TIGER/Line® dataset from the US Census Bureau
10001176,ST. ANTHONY WORK CAMP,125 N 8TH W,ST. ANTHONY,FREMONT,ID,83445,262,STATE,MINIMUM,OPEN,N,4,Moderate,high,0.0,7,0,Minimal,0.0338462,0.0,6.16,0.0,26.24,0.264615,3.79077,0.0,2,low,76,43.967606,-111.693165,1.0,range_interpolation,125,N 8th W,,,Saint Anthony,ID,Fremont County,83445,US,TIGER/Line® dataset from the US Census Bureau
10001891,FREMONT COUNTY DETENTION CENTER,460 RAILROAD ST,LANDER,FREMONT,WY,82520,171,COUNTY,MAXIMUM,OPEN,N,6,Major,high,0.0,28,0,Minimal,0.614323,0.0,10.2234,0.0,31.6603,0.636005,7.2339,0.0,2,low,77,42.835715,-108.724423,1.0,range_interpolation,460,Railroad St,,,Lander,WY,Fremont County,82520,US,TIGER/Line® dataset from the US Census Bureau
10001891,FREMONT COUNTY DETENTION CENTER,460 RAILROAD ST,LANDER,FREMONT,WY,82520,171,COUNTY,MAXIMUM,OPEN,N,6,Major,high,0.0,28,0,Minimal,0.614323,0.0,10.2234,0.0,31.6603,0.636005,7.2339,0.0,2,low,77,42.835715,-108.724423,1.0,range_interpolation,460,Railroad St,,,Lander,WY,Fremont County,82520,US,TIGER/Line® dataset from the US Census Bureau
10003599,HEART OF AMERICA CORRECTIONAL / TREATMENT CENTER,110 INDUSTRIAL RD,RUGBY,PIERCE,ND,58368,142,COUNTY,MINIMUM,OPEN,N,1,Minimal,medium,0.213992612230176,0,1,Low,8.04369,0.0,31.3155,2.47087,55.2864,12.3835,25.4272,1.21845,1,minimal,67,48.371257,-99.97696,1.0,range_interpolation,110,Industrial Rd,,,Rugby,ND,Pierce County,58368,US,TIGER/Line® dataset from the US Census Bureau
10006987,CANYON VIEW COMMUNITY FACILITY,260 N. GEORGIA AVENUE,EAST WENATCHEE,DOUGLAS,WA,98802,-999,STATE,JUVENILE,OPEN,N,6,Major,medium-high,0.0093305691214254,36,1,Low,6.75455,0.0,29.9,0.269697,53.8909,5.72424,24.4333,0.0393939,1,minimal,47,47.408793,-120.277712,1.0,rooftop,260,N Georgia Ave,,,East Wenatchee,WA,Douglas County,98802,US,Chelan (Public Domain)
10006987,CANYON VIEW COMMUNITY FACILITY,260 N. GEORGIA AVENUE,EAST WENATCHEE,DOUGLAS,WA,98802,-999,STATE,JUVENILE,OPEN,N,6,Major,medium-high,0.0093305691214254,36,1,Low,6.75455,0.0,29.9,0.269697,53.8909,5.72424,24.4333,0.0393939,1,minimal,47,47.408793,-120.277712,1.0,rooftop,260,N Georgia Ave,,,East Wenatchee,WA,Douglas County,98802,US,Chelan (Public Domain)
10006987,CANYON VIEW COMMUNITY FACILITY,260 N. GEORGIA AVENUE,EAST WENATCHEE,DOUGLAS,WA,98802,-999,STATE,JUVENILE,OPEN,N,6,Major,medium-high,0.0093305691214254,36,1,Low,6.75455,0.0,29.9,0.269697,53.8909,5.72424,24.4333,0.0393939,1,minimal,47,47.408793,-120.277712,1.0,rooftop,260,N Georgia Ave,,,East Wenatchee,WA,Douglas County,98802,US,Chelan (Public Domain)
10000615,ASPC-EYMAN,4374 E BUTTE AVE,FLORENCE,PINAL,AZ,85132,5503,STATE,MAXIMUM,OPEN,N,1,Minimal,high,0.0,0,5,Extreme,111.95,11.7102,149.142,50.2911,167.461,80.9288,143.081,42.1514,4,major,90,33.03222,-111.33813,1.0,rooftop,4374,E Butte Ave,,,Florence,AZ,Pinal County,85132,US,Pinal
10000600,ASPC-FLORENCE GLOBE UNIT,1000 FAIRGROUNDS RD,GLOBE,GILA,AZ,85501,250,STATE,MINIMUM,OPEN,N,1,Minimal,high,0.0,0,3,Major,29.2739,0.169944,70.2739,4.68258,105.5,17.3301,61.9831,3.16713,6,extreme,99,33.41717,-110.710972,1.0,rooftop,1000,E Fairgrounds Rd,,,Globe,AZ,Gila County,85501,US,Gila
10000600,ASPC-FLORENCE GLOBE UNIT,1000 FAIRGROUNDS RD,GLOBE,GILA,AZ,85501,250,STATE,MINIMUM,OPEN,N,1,Minimal,high,0.0,0,3,Major,29.2739,0.169944,70.2739,4.68258,105.5,17.3301,61.9831,3.16713,6,extreme,99,33.41717,-110.710972,1.0,rooftop,1000,E Fairgrounds Rd,,,Globe,AZ,Gila County,85501,US,Gila
10001684,WASHINGTON CORRECTIONS CENTER FOR WOMEN,9601 BUJACICH RD NW,GIG HARBOR,PIERCE,WA,98332,764,STATE,CLOSE,OPEN,N,1,Minimal,high,0.0,0,0,Minimal,0.329932,0.0,5.53742,0.0,18.1701,1.44558,3.84014,0.0,1,minimal,36,47.346863,-122.612448,1.0,rooftop,9601,Bujacich Rd NW,,,Gig Harbor,WA,Pierce County,98332,US,Pierce
10001684,WASHINGTON CORRECTIONS CENTER FOR WOMEN,9601 BUJACICH RD NW,GIG HARBOR,PIERCE,WA,98332,764,STATE,CLOSE,OPEN,N,1,Minimal,high,0.0,0,0,Minimal,0.329932,0.0,5.53742,0.0,18.1701,1.44558,3.84014,0.0,1,minimal,36,47.346863,-122.612448,1.0,rooftop,9601,Bujacich Rd NW,,,Gig Harbor,WA,Pierce County,98332,US,Pierce
10001684,WASHINGTON CORRECTIONS CENTER FOR WOMEN,9601 BUJACICH RD NW,GIG HARBOR,PIERCE,WA,98332,764,STATE,CLOSE,OPEN,N,1,Minimal,high,0.0,0,0,Minimal,0.329932,0.0,5.53742,0.0,18.1701,1.44558,3.84014,0.0,1,minimal,36,47.346863,-122.612448,1.0,rooftop,9601,Bujacich Rd NW,,,Gig Harbor,WA,Pierce County,98332,US,Pierce
10002476,ECHO GLEN CHILDREN'S CENTER,33010 SE 99TH ST,SNOQUALMIE,KING,WA,98065,125,STATE,JUVENILE,OPEN,N,1,Minimal,high,0.0,0,0,Minimal,0.0818414,0.0,4.85678,0.0,18.2711,1.28645,3.21995,0.0,1,minimal,57,47.518006,-121.901419,1.0,rooftop,33010,SE 99th St,,,Snoqualmie,WA,King County,98065,US,King
10002476,ECHO GLEN CHILDREN'S CENTER,33010 SE 99TH ST,SNOQUALMIE,KING,WA,98065,125,STATE,JUVENILE,OPEN,N,1,Minimal,high,0.0,0,0,Minimal,0.0818414,0.0,4.85678,0.0,18.2711,1.28645,3.21995,0.0,1,minimal,57,47.518006,-121.901419,1.0,rooftop,33010,SE 99th St,,,Snoqualmie,WA,King County,98065,US,King
10002476,ECHO GLEN CHILDREN'S CENTER,33010 SE 99TH ST,SNOQUALMIE,KING,WA,98065,125,STATE,JUVENILE,OPEN,N,1,Minimal,high,0.0,0,0,Minimal,0.0818414,0.0,4.85678,0.0,18.2711,1.28645,3.21995,0.0,1,minimal,57,47.518006,-121.901419,1.0,rooftop,33010,SE 99th St,,,Snoqualmie,WA,King County,98065,US,King
10002476,ECHO GLEN CHILDREN'S CENTER,33010 SE 99TH ST,SNOQUALMIE,KING,WA,98065,125,STATE,JUVENILE,OPEN,N,1,Minimal,high,0.0,0,0,Minimal,0.0818414,0.0,4.85678,0.0,18.2711,1.28645,3.21995,0.0,1,minimal,57,47.518006,-121.901419,1.0,rooftop,33010,SE 99th St,,,Snoqualmie,WA,King County,98065,US,King
10002476,ECHO GLEN CHILDREN'S CENTER,33010 SE 99TH ST,SNOQUALMIE,KING,WA,98065,125,STATE,JUVENILE,OPEN,N,1,Minimal,high,0.0,0,0,Minimal,0.0818414,0.0,4.85678,0.0,18.2711,1.28645,3.21995,0.0,1,minimal,57,47.518006,-121.901419,1.0,rooftop,33010,SE 99th St,,,Snoqualmie,WA,King County,98065,US,King
10002476,ECHO GLEN CHILDREN'S CENTER,33010 SE 99TH ST,SNOQUALMIE,KING,WA,98065,125,STATE,JUVENILE,OPEN,N,1,Minimal,high,0.0,0,0,Minimal,0.0818414,0.0,4.85678,0.0,18.2711,1.28645,3.21995,0.0,1,minimal,57,47.518006,-121.901419,1.0,rooftop,33010,SE 99th St,,,Snoqualmie,WA,King County,98065,US,King
10002500,NASELLE YOUTH CAMP,11 YOUTH CAMP DRIVE,NASELLE,PACIFIC,WA,98638,76,STATE,JUVENILE,OPEN,N,10,Extreme,high,0.0,169,0,Minimal,0.197605,0.0,3.85629,0.0,14.3234,1.07784,2.56287,0.0,1,minimal,39,46.39363,-123.82341,1.0,rooftop,11,Youth Camp Ln,,,Naselle,WA,Pacific County,98638,US,Pacific
10002500,NASELLE YOUTH CAMP,11 YOUTH CAMP DRIVE,NASELLE,PACIFIC,WA,98638,76,STATE,JUVENILE,OPEN,N,10,Extreme,high,0.0,169,0,Minimal,0.197605,0.0,3.85629,0.0,14.3234,1.07784,2.56287,0.0,1,minimal,39,46.39363,-123.82341,1.0,rooftop,11,Youth Camp Ln,,,Naselle,WA,Pacific County,98638,US,Pacific
10002500,NASELLE YOUTH CAMP,11 YOUTH CAMP DRIVE,NASELLE,PACIFIC,WA,98638,76,STATE,JUVENILE,OPEN,N,10,Extreme,high,0.0,169,0,Minimal,0.197605,0.0,3.85629,0.0,14.3234,1.07784,2.56287,0.0,1,minimal,39,46.39363,-123.82341,1.0,rooftop,11,Youth Camp Ln,,,Naselle,WA,Pacific County,98638,US,Pacific
10000606,ASPC-PERRYVILLE,2105 N CITRUS RD,GOODYEAR,MARICOPA,AZ,85395,4250,STATE,CLOSE,OPEN,N,1,Minimal,high,0.0,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,3,moderate,84,33.471375,-112.442172,1.0,rooftop,2105,N Citrus Rd,,,Goodyear,AZ,Maricopa County,85395,US,Maricopa
10000606,ASPC-PERRYVILLE,2105 N CITRUS RD,GOODYEAR,MARICOPA,AZ,85395,4250,STATE,CLOSE,OPEN,N,1,Minimal,high,0.0,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,3,moderate,84,33.471375,-112.442172,1.0,rooftop,2105,N Citrus Rd,,,Goodyear,AZ,Maricopa County,85395,US,Maricopa
10000606,ASPC-PERRYVILLE,2105 N CITRUS RD,GOODYEAR,MARICOPA,AZ,85395,4250,STATE,CLOSE,OPEN,N,1,Minimal,high,0.0,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,3,moderate,84,33.471375,-112.442172,1.0,rooftop,2105,N Citrus Rd,,,Goodyear,AZ,Maricopa County,85395,US,Maricopa
10000606,ASPC-PERRYVILLE,2105 N CITRUS RD,GOODYEAR,MARICOPA,AZ,85395,4250,STATE,CLOSE,OPEN,N,1,Minimal,high,0.0,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,3,moderate,84,33.471375,-112.442172,1.0,rooftop,2105,N Citrus Rd,,,Goodyear,AZ,Maricopa County,85395,US,Maricopa
10000606,ASPC-PERRYVILLE,2105 N CITRUS RD,GOODYEAR,MARICOPA,AZ,85395,4250,STATE,CLOSE,OPEN,N,1,Minimal,high,0.0,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,3,moderate,84,33.471375,-112.442172,1.0,rooftop,2105,N Citrus Rd,,,Goodyear,AZ,Maricopa County,85395,US,Maricopa
10000606,ASPC-PERRYVILLE,2105 N CITRUS RD,GOODYEAR,MARICOPA,AZ,85395,4250,STATE,CLOSE,OPEN,N,1,Minimal,high,0.0,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,3,moderate,84,33.471375,-112.442172,1.0,rooftop,2105,N Citrus Rd,,,Goodyear,AZ,Maricopa County,85395,US,Maricopa
10000628,ASPC-TUCSON,10000 S WILMOT RD,TUCSON,PIMA,AZ,85734,5098,STATE,CLOSE,OPEN,N,1,Minimal,high,0.0,0,5,Extreme,105.023,7.69102,143.895,41.7207,165.355,74.1568,137.446,33.688,5,severe,94,32.068298,-110.867984,0.96,rooftop,10000,S Wilmot Rd,,,Tucson,AZ,Pima County,85756,US,Pima
10000628,ASPC-TUCSON,10000 S WILMOT RD,TUCSON,PIMA,AZ,85734,5098,STATE,CLOSE,OPEN,N,1,Minimal,high,0.0,0,5,Extreme,105.023,7.69102,143.895,41.7207,165.355,74.1568,137.446,33.688,5,severe,94,32.068298,-110.867984,0.96,rooftop,10000,S Wilmot Rd,,,Tucson,AZ,Pima County,85756,US,Pima
10000628,ASPC-TUCSON,10000 S WILMOT RD,TUCSON,PIMA,AZ,85734,5098,STATE,CLOSE,OPEN,N,1,Minimal,high,0.0,0,5,Extreme,105.023,7.69102,143.895,41.7207,165.355,74.1568,137.446,33.688,5,severe,94,32.068298,-110.867984,0.96,rooftop,10000,S Wilmot Rd,,,Tucson,AZ,Pima County,85756,US,Pima
10002246,MARICOPA REENTRY CENTER,24601 N 29TH AVE,PHOENIX,MARICOPA,AZ,85027,-999,STATE,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.0765662762542575,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,4,major,89,33.70721,-112.120463,0.9,rooftop,24601,N 29th Ave,,,Phoenix,AZ,Maricopa County,85083,US,Maricopa
10002246,MARICOPA REENTRY CENTER,24601 N 29TH AVE,PHOENIX,MARICOPA,AZ,85027,-999,STATE,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.0765662762542575,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,4,major,89,33.70721,-112.120463,0.9,rooftop,24601,N 29th Ave,,,Phoenix,AZ,Maricopa County,85083,US,Maricopa
10002246,MARICOPA REENTRY CENTER,24601 N 29TH AVE,PHOENIX,MARICOPA,AZ,85027,-999,STATE,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.0765662762542575,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,4,major,89,33.70721,-112.120463,0.9,rooftop,24601,N 29th Ave,,,Phoenix,AZ,Maricopa County,85083,US,Maricopa
10002246,MARICOPA REENTRY CENTER,24601 N 29TH AVE,PHOENIX,MARICOPA,AZ,85027,-999,STATE,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.0765662762542575,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,4,major,89,33.70721,-112.120463,0.9,rooftop,24601,N 29th Ave,,,Phoenix,AZ,Maricopa County,85083,US,Maricopa
10002246,MARICOPA REENTRY CENTER,24601 N 29TH AVE,PHOENIX,MARICOPA,AZ,85027,-999,STATE,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.0765662762542575,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,4,major,89,33.70721,-112.120463,0.9,rooftop,24601,N 29th Ave,,,Phoenix,AZ,Maricopa County,85083,US,Maricopa
10002246,MARICOPA REENTRY CENTER,24601 N 29TH AVE,PHOENIX,MARICOPA,AZ,85027,-999,STATE,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.0765662762542575,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,4,major,89,33.70721,-112.120463,0.9,rooftop,24601,N 29th Ave,,,Phoenix,AZ,Maricopa County,85083,US,Maricopa
10002246,MARICOPA REENTRY CENTER,24601 N 29TH AVE,PHOENIX,MARICOPA,AZ,85027,-999,STATE,NOT AVAILABLE,OPEN,N,1,Minimal,medium-high,0.0765662762542575,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,4,major,89,33.70721,-112.120463,0.9,rooftop,24601,N 29th Ave,,,Phoenix,AZ,Maricopa County,85083,US,Maricopa
10002247,AZ JUVENILE CORRECTIONS - ADOBE MT SCHOOL,2800 W PINNACLE PEAK RD,PHOENIX,MARICOPA,AZ,85027,450,STATE,JUVENILE,OPEN,N,1,Minimal,medium-high,0.0588261817658734,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,4,major,88,33.702646,-112.117798,1.0,rooftop,2800,W Pinnacle Peak Rd,,,Phoenix,AZ,Maricopa County,85027,US,Maricopa
10002247,AZ JUVENILE CORRECTIONS - ADOBE MT SCHOOL,2800 W PINNACLE PEAK RD,PHOENIX,MARICOPA,AZ,85027,450,STATE,JUVENILE,OPEN,N,1,Minimal,medium-high,0.0588261817658734,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,4,major,88,33.702646,-112.117798,1.0,rooftop,2800,W Pinnacle Peak Rd,,,Phoenix,AZ,Maricopa County,85027,US,Maricopa
10002247,AZ JUVENILE CORRECTIONS - ADOBE MT SCHOOL,2800 W PINNACLE PEAK RD,PHOENIX,MARICOPA,AZ,85027,450,STATE,JUVENILE,OPEN,N,1,Minimal,medium-high,0.0588261817658734,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,4,major,88,33.702646,-112.117798,1.0,rooftop,2800,W Pinnacle Peak Rd,,,Phoenix,AZ,Maricopa County,85027,US,Maricopa
10002247,AZ JUVENILE CORRECTIONS - ADOBE MT SCHOOL,2800 W PINNACLE PEAK RD,PHOENIX,MARICOPA,AZ,85027,450,STATE,JUVENILE,OPEN,N,1,Minimal,medium-high,0.0588261817658734,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,4,major,88,33.702646,-112.117798,1.0,rooftop,2800,W Pinnacle Peak Rd,,,Phoenix,AZ,Maricopa County,85027,US,Maricopa
10002247,AZ JUVENILE CORRECTIONS - ADOBE MT SCHOOL,2800 W PINNACLE PEAK RD,PHOENIX,MARICOPA,AZ,85027,450,STATE,JUVENILE,OPEN,N,1,Minimal,medium-high,0.0588261817658734,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,4,major,88,33.702646,-112.117798,1.0,rooftop,2800,W Pinnacle Peak Rd,,,Phoenix,AZ,Maricopa County,85027,US,Maricopa
10002247,AZ JUVENILE CORRECTIONS - ADOBE MT SCHOOL,2800 W PINNACLE PEAK RD,PHOENIX,MARICOPA,AZ,85027,450,STATE,JUVENILE,OPEN,N,1,Minimal,medium-high,0.0588261817658734,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,4,major,88,33.702646,-112.117798,1.0,rooftop,2800,W Pinnacle Peak Rd,,,Phoenix,AZ,Maricopa County,85027,US,Maricopa
10002247,AZ JUVENILE CORRECTIONS - ADOBE MT SCHOOL,2800 W PINNACLE PEAK RD,PHOENIX,MARICOPA,AZ,85027,450,STATE,JUVENILE,OPEN,N,1,Minimal,medium-high,0.0588261817658734,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,4,major,88,33.702646,-112.117798,1.0,rooftop,2800,W Pinnacle Peak Rd,,,Phoenix,AZ,Maricopa County,85027,US,Maricopa
10002247,AZ JUVENILE CORRECTIONS - ADOBE MT SCHOOL,2800 W PINNACLE PEAK RD,PHOENIX,MARICOPA,AZ,85027,450,STATE,JUVENILE,OPEN,N,1,Minimal,medium-high,0.0588261817658734,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,4,major,88,33.702646,-112.117798,1.0,rooftop,2800,W Pinnacle Peak Rd,,,Phoenix,AZ,Maricopa County,85027,US,Maricopa
10002247,AZ JUVENILE CORRECTIONS - ADOBE MT SCHOOL,2800 W PINNACLE PEAK RD,PHOENIX,MARICOPA,AZ,85027,450,STATE,JUVENILE,OPEN,N,1,Minimal,medium-high,0.0588261817658734,0,5,Extreme,124.317,19.3959,157.161,65.0339,171.345,91.773,151.663,55.8982,4,major,88,33.702646,-112.117798,1.0,rooftop,2800,W Pinnacle Peak Rd,,,Phoenix,AZ,Maricopa County,85027,US,Maricopa
