County,Meridian,Section,Township,Range,Legal Description,Legal Description Short,Surface Acres,Land Class Description,PLSSID,FRSTDIVID,SECDIVID,STATEABBR,PRINMERCD,PRINMER,TWNSHPNO,TWNSHPFRAC,TWNSHPDIR,RANGENO,RANGEFRAC,RANGEDIR,TWNSHPDPCD,STEWARD,TWNSHPLAB,FRSTDIVTYP,FRSTDIVTXT,FRSTDIVNO,FRSTDIVDUP,FRSTDIVLAB,SECDIVTYP,SECDIVTXT,SECDIVNO,SECDIVLAB,QSEC,QQSEC,GOVLOT,RECRDAREATX,RECRDAREANO,GISACRE,REVISEDDATE,GlobalID,OBJECTID,Shape.STArea(),Shape.STLength(),SECDIVNOTE
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",L1,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330L1,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,L,Government Lot,1,L 1,NE,NWNE,L1,15.13 Acres,15.13,14.96473055,1417737600000,{EBFE3EC6-C276-4DB3-A1ED-2C6D1CFDCEF4},1136052,124514.54301723,1591.439264480409,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",NWSW,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330ANWSW,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,A,Aliquot Part,NWSW,NWSW,SW,NWSW,,40 Acres,40.0,39.91789421,1417737600000,{FA06A6C7-D9E8-4259-90B8-1A49BF973205},1136070,332056.41775997,2304.9944069866683,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",SESW,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330ASESW,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,A,Aliquot Part,SESW,SESW,SW,SESW,,40 Acres,40.0,40.11812801,1417737600000,{4FB01BDC-2F8F-4823-BDBB-F0C7F482F79F},1136082,333677.8598436,2310.6907125075372,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",L2,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330L2,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,L,Government Lot,2,L 2,NE,SWNE,L2,23.53 Acres,23.53,23.16573565,1417737600000,{964E5F3A-E79B-495B-8CFB-A578725BF17C},1136062,192727.207345985,1830.9317771607903,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",SWSW,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330ASWSW,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,A,Aliquot Part,SWSW,SWSW,SW,SWSW,,40 Acres,40.0,39.8579257,1417737600000,{27624624-2958-429D-90DD-D870FC03916E},1136081,331514.88435756,2303.174167932052,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",NWNW,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330ANWNW,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,A,Aliquot Part,NWNW,NWNW,NW,NWNW,,40 Acres,40.0,39.8475403,1417737600000,{D6DABB36-18D3-48A3-BFE8-2E5FA0AEB5C2},1136050,331556.35353324,2303.25926029202,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",SENW,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330ASENW,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,A,Aliquot Part,SENW,SENW,NW,SENW,,40 Acres,40.0,39.66942358,1417737600000,{1C5F40CE-F66D-44AB-A77F-D749BF053E1A},1136061,330031.12143351,2297.9432170124674,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",L3,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330L3,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,L,Government Lot,3,L 3,SE,NWSE,L3,31.93 Acres,31.93,32.20770023,1417737600000,{68FDDB47-B27B-478B-B240-FFB64C57370C},1136072,267917.766488635,2098.503932208601,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",L4,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330L4,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,L,Government Lot,4,L 4,SE,SESE,L4,40.33 Acres,40.33,1.5756033,1417737600000,{E6CBE87C-717D-412E-9B05-F60DA04BD79C},1136085,13104.294448725,781.9270921333032,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",L4,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330L4,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,L,Government Lot,4,L 4,SE,SWSE,L4,40.33 Acres,40.33,39.63143934,1417737600000,{204DFFFD-6B82-4A99-BA2D-6166C2CFAF53},1136083,329628.89302668,2272.174572909447,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",SWNW,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330ASWNW,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,A,Aliquot Part,SWNW,SWNW,NW,SWNW,,40 Acres,40.0,39.78834363,1417737600000,{53E64DDA-1408-409E-9FA6-37EB49827AFD},1136060,331021.3194109,2301.3842841507194,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",NESW,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330ANESW,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,A,Aliquot Part,NESW,NESW,SW,NESW,,40 Acres,40.0,40.17799771,1417737600000,{D179CE94-74A2-49F2-AF29-58E7AD12C3EB},1136071,334219.145780985,2312.5101158725124,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",L4,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330L4,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,L,Government Lot,4,L 4,SE,SESE,L4,40.33 Acres,40.33,1.5756033,1417737600000,{E6CBE87C-717D-412E-9B05-F60DA04BD79C},1136085,13104.294448725,781.9270921333032,
Marshall,5,33,127N,55W,"Lots 1,2,3,4, NW4NW4, S2NW4, SW4",L4,38.66,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN330,SD051270N0550W0SN330L4,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,33,0,33,L,Government Lot,4,L 4,SE,SWSE,L4,40.33 Acres,40.33,39.63143934,1417737600000,{204DFFFD-6B82-4A99-BA2D-6166C2CFAF53},1136083,329628.89302668,2272.174572909447,
Marshall,5,25,127N,56W,All,NWNE,80.0,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ANWNE,SD,05,5th Meridian,127,0,N,056,0,W,0,BLM Cadastral - MT,127N 56W,SN,Section,25,0,25,A,Aliquot Part,NWNE,NWNE,NE,NWNE,,40 Acres,40.0,39.91435912,1417737600000,{DFD915D9-AC20-417C-BB02-F0491D9D7EEA},1136506,332292.92661944,2305.833540833513,
Marshall,5,25,127N,56W,All,SWNE,80.0,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ASWNE,SD,05,5th Meridian,127,0,N,056,0,W,0,BLM Cadastral - MT,127N 56W,SN,Section,25,0,25,A,Aliquot Part,SWNE,SWNE,NE,SWNE,,40 Acres,40.0,39.93404451,1417737600000,{7D851FF0-0483-478A-BDA3-8CFCC0F8C54D},1136531,332413.83223429,2306.2523156709894,
Marshall,5,25,127N,56W,All,NWSE,80.0,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ANWSE,SD,05,5th Meridian,127,0,N,056,0,W,0,BLM Cadastral - MT,127N 56W,SN,Section,25,0,25,A,Aliquot Part,NWSE,NWSE,SE,NWSE,,40 Acres,40.0,39.95715845,1417737600000,{A790D1B2-C2B8-4CFC-B1F0-D494B10644D1},1136556,332563.191907125,2306.7703704025835,
Marshall,5,25,127N,56W,All,SWSE,80.0,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ASWSE,SD,05,5th Meridian,127,0,N,056,0,W,0,BLM Cadastral - MT,127N 56W,SN,Section,25,0,25,A,Aliquot Part,SWSE,SWSE,SE,SWSE,,40 Acres,40.0,39.97691761,1417737600000,{7F83DB62-8E36-4CA2-8A15-EB7FF88235B4},1136581,332684.59622425,2307.191044762606,
Marshall,5,25,127N,56W,All,NWNW,80.0,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ANWNW,SD,05,5th Meridian,127,0,N,056,0,W,0,BLM Cadastral - MT,127N 56W,SN,Section,25,0,25,A,Aliquot Part,NWNW,NWNW,NW,NWNW,,40 Acres,40.0,39.88803842,1417737600000,{396EAB09-50BD-4DFD-BD06-6E7208C84462},1136500,332075.653877785,2305.0721431777315,
Marshall,5,25,127N,56W,All,SWNW,80.0,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ASWNW,SD,05,5th Meridian,127,0,N,056,0,W,0,BLM Cadastral - MT,127N 56W,SN,Section,25,0,25,A,Aliquot Part,SWNW,SWNW,NW,SWNW,,40 Acres,40.0,39.90776608,1417737600000,{54FB58B2-DD1E-4DC4-9218-6329BEA717CE},1136526,332196.90144959,2305.4918165503814,
Marshall,5,25,127N,56W,All,NWSW,80.0,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ANWSW,SD,05,5th Meridian,127,0,N,056,0,W,0,BLM Cadastral - MT,127N 56W,SN,Section,25,0,25,A,Aliquot Part,NWSW,NWSW,SW,NWSW,,40 Acres,40.0,39.92806597,1417737600000,{A10F5ADC-58BF-4B9E-95B3-46AA13EC92AA},1136554,332322.968996145,2305.9286335268444,
Marshall,5,25,127N,56W,All,SWSW,80.0,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ASWSW,SD,05,5th Meridian,127,0,N,056,0,W,0,BLM Cadastral - MT,127N 56W,SN,Section,25,0,25,A,Aliquot Part,SWSW,SWSW,SW,SWSW,,40 Acres,40.0,39.94811516,1417737600000,{C441BEF3-206A-4BB7-854A-476D6823F17A},1136579,332446.80351208,2306.3581075040506,
Marshall,5,25,127N,56W,All,NENW,80.0,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ANENW,SD,05,5th Meridian,127,0,N,056,0,W,0,BLM Cadastral - MT,127N 56W,SN,Section,25,0,25,A,Aliquot Part,NENW,NENW,NW,NENW,,40 Acres,40.0,39.90063198,1417737600000,{B5A3E9F5-52FC-44D6-8B4F-B182443F11ED},1136503,332179.5818051,2305.436341404697,
Marshall,5,25,127N,56W,All,SENW,80.0,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ASENW,SD,05,5th Meridian,127,0,N,056,0,W,0,BLM Cadastral - MT,127N 56W,SN,Section,25,0,25,A,Aliquot Part,SENW,SENW,NW,SENW,,40 Acres,40.0,39.92036549,1417737600000,{28216BBF-8408-4341-A9FA-5FCD5CCFBA77},1136530,332300.85638837,2305.856253221574,
Marshall,5,25,127N,56W,All,NESW,80.0,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ANESW,SD,05,5th Meridian,127,0,N,056,0,W,0,BLM Cadastral - MT,127N 56W,SN,Section,25,0,25,A,Aliquot Part,NESW,NESW,SW,NESW,,40 Acres,40.0,39.94317892,1417737600000,{29C5360F-0B3E-4CFF-910D-EAFB4D1E21C3},1136555,332447.77817691,2306.3657717363367,
Marshall,5,25,127N,56W,All,SESW,80.0,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ASESW,SD,05,5th Meridian,127,0,N,056,0,W,0,BLM Cadastral - MT,127N 56W,SN,Section,25,0,25,A,Aliquot Part,SESW,SESW,SW,SESW,,40 Acres,40.0,39.96334311,1417737600000,{C3916C4A-9CD7-42C1-A7B0-BEE5F8C40963},1136580,332572.51594379,2306.7982333027276,
Marshall,5,25,127N,56W,All,NENE,80.0,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ANENE,SD,05,5th Meridian,127,0,N,056,0,W,0,BLM Cadastral - MT,127N 56W,SN,Section,25,0,25,A,Aliquot Part,NENE,NENE,NE,NENE,,40 Acres,40.0,39.92893479,1417737600000,{EDB2259E-1521-4163-AA83-6BA63011A517},1136507,332413.320938965,2306.255822060561,
Marshall,5,25,127N,56W,All,SENE,80.0,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ASENE,SD,05,5th Meridian,127,0,N,056,0,W,0,BLM Cadastral - MT,127N 56W,SN,Section,25,0,25,A,Aliquot Part,SENE,SENE,NE,SENE,,40 Acres,40.0,39.94882091,1417737600000,{F48AEC72-17DD-45EB-9E0A-222C0584225F},1136532,332535.84589428,2306.6804453716077,
Marshall,5,25,127N,56W,All,NESE,80.0,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ANESE,SD,05,5th Meridian,127,0,N,056,0,W,0,BLM Cadastral - MT,127N 56W,SN,Section,25,0,25,A,Aliquot Part,NESE,NESE,SE,NESE,,40 Acres,40.0,39.96918498,1417737600000,{743221BA-289D-4D87-B12B-ACCB5523AF56},1136557,332662.27675721,2307.1185882443374,
Marshall,5,25,127N,56W,All,SESE,80.0,"DOC, JUVENILE PROGRAMS",SD051270N0560W0,SD051270N0560W0SN250,SD051270N0560W0SN250ASESE,SD,05,5th Meridian,127,0,N,056,0,W,0,BLM Cadastral - MT,127N 56W,SN,Section,25,0,25,A,Aliquot Part,SESE,SESE,SE,SESE,,40 Acres,40.0,39.98889721,1417737600000,{CD42BD00-93A3-4FA9-8FAE-BAB34F3AF4AD},1136582,332783.323985195,2307.5377996180896,
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L4,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L4,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,L,Government Lot,4,L 4,NW,NWNW,L4,31.74 Acres,31.74,31.78882614,1417737600000,{79DD1C4C-A7E5-4CEE-ABE5-4181E76C3215},1135969,264782.14058246,2071.327108934603,
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L5,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L5,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,L,Government Lot,5,L 5,NE,SENE,L5,48.27 Acres,48.27,48.23952941,1417737600000,{92ACCFFC-B4BE-4576-B7D3-2761FB748F17},1136094,401755.243339025,2547.8309991270667,C
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L5,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L5,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,L,Government Lot,5,L 5,NE,NENE,L5,48.27 Acres,48.27,48.23952941,1417737600000,{5EDC0B2F-6B13-4DAF-82F9-0FE3E9B11687},1135978,401755.243339025,2547.8309991270667,C
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",NWSW,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200ANWSW,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,A,Aliquot Part,NWSW,NWSW,SW,NWSW,,40 Acres,40.0,40.04074895,1417737600000,{991CD7ED-946F-47ED-942F-8149A8FA6126},1135984,333426.30931319,2309.7445923997016,
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",SESE,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200ASESE,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,A,Aliquot Part,SESE,SESE,SE,SESE,,40 Acres,40.0,40.11065813,1417737600000,{E7339CD0-A0ED-4963-AAE4-5118AFEB8B75},1135997,333962.81006363,2311.6259249458194,
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L5,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L5,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,L,Government Lot,5,L 5,NE,NENE,L5,48.27 Acres,48.27,48.23952941,1417737600000,{5EDC0B2F-6B13-4DAF-82F9-0FE3E9B11687},1135978,401755.243339025,2547.8309991270667,C
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L5,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L5,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,L,Government Lot,5,L 5,NE,SENE,L5,48.27 Acres,48.27,48.23952941,1417737600000,{92ACCFFC-B4BE-4576-B7D3-2761FB748F17},1136094,401755.243339025,2547.8309991270667,C
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L1,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L1,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,L,Government Lot,1,L 1,NE,NENE,L1,31.51 Acres,31.51,31.53686516,1417737600000,{D3A1FADF-9F8E-41F7-B913-098E8C7F378B},1135966,262681.589571115,2039.341894910801,
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L8,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L8,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,L,Government Lot,8,L 8,NW,SWNW,L8,49.05 Acres,49.05,49.11395476,1417737600000,{CF13DCDB-BAF5-4B9C-AC6F-26F1073E2050},1136091,409040.646389695,2571.978117375575,C
Marshall,5,20,127N,55W,"Lots 5,6,7,8, S2, T; LOTS 1,2,3,4,RC;",L8,88.27,"DOC, JUVENILE PROGRAMS",SD051270N0550W0,SD051270N0550W0SN200,SD051270N0550W0SN200L8,SD,05,5th Meridian,127,0,N,055,0,W,0,BLM Cadastral - MT,127N 55W,SN,Section,20,0,20,L,Government Lot,8,L 8,NW,NWNW,L8,49.05 Acres,49.05,49.11395476,1417737600000,{721ACE5D-E414-40FF-9683-6EA4BE102020},1135975,409040.646389695,2571.978117375575,C
